epoch,loss,lr,ohkm,val_loss,val_ohkm
0,0.04402266442775726,1e-04,0.03668553754687309,0.04457901045680046,0.03714917600154877
1,0.044533949345350266,1e-04,0.037111639976501465,0.04645063355565071,0.03870885819196701
2,0.04405072331428528,1e-04,0.036708928644657135,0.0410960353910923,0.03424669802188873
3,0.039739493280649185,1e-04,0.03311624377965927,0.04475117102265358,0.037292640656232834
4,0.04090287536382675,1e-04,0.034085728228092194,0.038470085710287094,0.03205840662121773
5,0.023662595078349113,1e-04,0.019718829542398453,0.018068302422761917,0.015056920237839222
6,0.017404038459062576,1e-04,0.014503360725939274,0.015502864494919777,0.012919053435325623
7,0.01458866335451603,1e-04,0.012157224118709564,0.013744024559855461,0.011453354731202126
8,0.013186457566916943,1e-04,0.010988709516823292,0.01233438216149807,0.010278651490807533
9,0.011543674394488335,1e-04,0.009619730524718761,0.010298995301127434,0.008582497015595436
10,0.010519063100218773,1e-04,0.00876588560640812,0.010049358010292053,0.008374464698135853
11,0.009672251529991627,1e-04,0.008060209453105927,0.009651903994381428,0.008043253794312477
12,0.008998618461191654,1e-04,0.0074988482519984245,0.009454210288822651,0.007878509350121021
13,0.008543943986296654,1e-04,0.007119951769709587,0.009292962960898876,0.0077441358007490635
14,0.008204598911106586,1e-04,0.00683716731145978,0.00803122203797102,0.0066926851868629456
15,0.007590061519294977,1e-04,0.00632505165413022,0.008095035329461098,0.006745862774550915
16,0.0071563939563930035,1e-04,0.005963662173599005,0.007800965569913387,0.006500805262476206
17,0.006894352845847607,1e-04,0.005745291244238615,0.008237447589635849,0.006864540278911591
18,0.006565643474459648,1e-04,0.005471370182931423,0.0075192986987531185,0.006266082637012005
19,0.006294289603829384,1e-04,0.005245243199169636,0.007205389440059662,0.00600449088960886
20,0.005956940818578005,1e-04,0.004964115098118782,0.007077925838530064,0.005898271221667528
21,0.0056955162435770035,1e-04,0.004746262915432453,0.0071611241437494755,0.0059676035307347775
22,0.005481077823787928,1e-04,0.004567563533782959,0.006993940565735102,0.005828282795846462
23,0.0051505849696695805,1e-04,0.004292154684662819,0.00693188700824976,0.0057765725068748
24,0.004996409639716148,1e-04,0.0041636754758656025,0.006743746809661388,0.005619789008051157
25,0.004811563063412905,1e-04,0.004009634722024202,0.006652562413364649,0.005543801933526993
26,0.004603169858455658,1e-04,0.003835974959656596,0.006722086574882269,0.005601738579571247
27,0.004397195763885975,1e-04,0.003664330579340458,0.006734461989253759,0.005612052045762539
28,0.0041332971304655075,1e-04,0.003444412024691701,0.006542924791574478,0.005452437791973352
29,0.004063957836478949,1e-04,0.0033866316080093384,0.006241132505238056,0.005200943909585476
30,0.0038008117116987705,1e-04,0.0031673430930823088,0.007011583540588617,0.005842985585331917
31,0.0036362463142722845,1e-04,0.003030206076800823,0.006702016107738018,0.005585013888776302
32,0.0034591034054756165,1e-04,0.002882585860788822,0.006709381937980652,0.005591151770204306
33,0.003390592522919178,1e-04,0.0028254955541342497,0.006978184916079044,0.005815154407173395
34,0.0031730986665934324,1e-04,0.002644249005243182,0.007340274751186371,0.006116895936429501
35,0.002795565640553832,5e-05,0.0023296382278203964,0.006714072078466415,0.005595060531049967
36,0.002715663518756628,5e-05,0.0022630540188401937,0.0070776259526610374,0.0058980220928788185
37,0.0025518538895994425,5e-05,0.0021265442483127117,0.006332937628030777,0.005277447402477264
38,0.002515889937058091,5e-05,0.002096575452014804,0.006875385530292988,0.005729487631469965
39,0.002385321306064725,5e-05,0.0019877683371305466,0.006672779563814402,0.0055606490932404995
40,0.0023563383147120476,5e-05,0.0019636163488030434,0.006853453814983368,0.005711210425943136
41,0.002335596363991499,5e-05,0.0019463306525722146,0.0070865824818611145,0.005905485711991787
42,0.0021298127248883247,2.5e-05,0.00177484389860183,0.006618260405957699,0.00551521684974432
43,0.0020895428024232388,2.5e-05,0.0017412857851013541,0.006806820631027222,0.005672350060194731
44,0.0020797939505428076,2.5e-05,0.001733161392621696,0.006476368755102158,0.0053969742730259895
45,0.0020766668021678925,2.5e-05,0.0017305552028119564,0.006924243178218603,0.00577020226046443
46,0.001997673651203513,2.5e-05,0.001664728275500238,0.006682508625090122,0.005568757653236389
47,0.001986348070204258,2.5e-05,0.001655290019698441,0.006336255930364132,0.00528021389618516
48,0.0019203845877200365,2.5e-05,0.0016003197524696589,0.006495720241218805,0.005413099192082882
49,0.001845220336690545,1.25e-05,0.0015376836527138948,0.0068399133160710335,0.005699926987290382
